================EMPLOYEE:1===================
GROSS:   $602
NET:     $436.93
TAX:     $165.07
================EMPLOYEE:2===================
GROSS:   $318
NET:     $216.24
TAX:     $101.76
VISA:    417
YTD:     $47838
================EMPLOYEE:3===================
GROSS:   $1626
NET:     $1095.73
TAX:     $530.27
================EMPLOYEE:4===================
GROSS:   $759
NET:     $645.15
TAX:     $113.85
VISA:    462
YTD:     $23759
================EMPLOYEE:5===================
GROSS:   $1223.7
NET:     $843.25
TAX:     $380.45
