================EMPLOYEE:1===================
GROSS:   $602
NET:     $436.93
TAX:     $165.07
================EMPLOYEE:2===================
GROSS:   $368
NET:     $250.24
TAX:     $117.76
VISA:    417
YTD:     $47888
================EMPLOYEE:3===================
GROSS:   $1914
NET:     $1271.41
TAX:     $642.59
================EMPLOYEE:4===================
GROSS:   $931.5
NET:     $791.78
TAX:     $139.72
VISA:    462
YTD:     $23931
================EMPLOYEE:5===================
GROSS:   $1499.95
NET:     $1018.84
TAX:     $481.11
