================EMPLOYEE:1===================
GROSS:   $235
NET:     $183.18
TAX:     $51.82
================EMPLOYEE:2===================
GROSS:   $156
NET:     $106.08
TAX:     $49.92
VISA:    417
YTD:     $47676
================EMPLOYEE:3===================
GROSS:   $813
NET:     $574.57
TAX:     $238.43
================EMPLOYEE:4===================
GROSS:   $414
NET:     $351.9
TAX:     $62.1
VISA:    462
YTD:     $23414
================EMPLOYEE:5===================
GROSS:   $463.1
NET:     $346.33
TAX:     $116.77
