================EMPLOYEE:1===================
GROSS:   $652
NET:     $469.55
TAX:     $182.45
================EMPLOYEE:1===================
GROSS:   $0
NET:     $0.19
TAX:     $-0.19
================EMPLOYEE:1===================
GROSS:   $0
NET:     $0.19
TAX:     $-0.19
================EMPLOYEE:1===================
GROSS:   $0
NET:     $0.19
TAX:     $-0.19
================EMPLOYEE:1===================
GROSS:   $0
NET:     $0.19
TAX:     $-0.19
================EMPLOYEE:1===================
GROSS:   $0
NET:     $0.19
TAX:     $-0.19
================EMPLOYEE:1===================
GROSS:   $0
NET:     $0.19
TAX:     $-0.19
================EMPLOYEE:1===================
GROSS:   $0
NET:     $0.19
TAX:     $-0.19
================EMPLOYEE:1===================
GROSS:   $0
NET:     $0.19
TAX:     $-0.19
================EMPLOYEE:1===================
GROSS:   $0
NET:     $0.19
TAX:     $-0.19
================EMPLOYEE:1===================
GROSS:   $0
NET:     $0.19
TAX:     $-0.19
================EMPLOYEE:1===================
GROSS:   $0
NET:     $0.19
TAX:     $-0.19
================EMPLOYEE:1===================
GROSS:   $0
NET:     $0.19
TAX:     $-0.19
================EMPLOYEE:1===================
GROSS:   $0
NET:     $0.19
TAX:     $-0.19
================EMPLOYEE:1===================
GROSS:   $0
NET:     $0.19
TAX:     $-0.19
================EMPLOYEE:1===================
GROSS:   $0
NET:     $0.19
TAX:     $-0.19
================EMPLOYEE:1===================
GROSS:   $0
NET:     $0.19
TAX:     $-0.19
================EMPLOYEE:1===================
GROSS:   $0
NET:     $0.19
TAX:     $-0.19
================EMPLOYEE:1===================
GROSS:   $0
NET:     $0.19
TAX:     $-0.19
================EMPLOYEE:1===================
GROSS:   $0
NET:     $0.19
TAX:     $-0.19
================EMPLOYEE:1===================
GROSS:   $0
NET:     $0.19
TAX:     $-0.19
================EMPLOYEE:1===================
GROSS:   $0
NET:     $0.19
TAX:     $-0.19
================EMPLOYEE:1===================
GROSS:   $0
NET:     $0.19
TAX:     $-0.19
================EMPLOYEE:1===================
GROSS:   $0
NET:     $0.19
TAX:     $-0.19
================EMPLOYEE:1===================
GROSS:   $0
NET:     $0.19
TAX:     $-0.19
================EMPLOYEE:1===================
GROSS:   $0
NET:     $0.19
TAX:     $-0.19
================EMPLOYEE:1===================
GROSS:   $0
NET:     $0.19
TAX:     $-0.19
================EMPLOYEE:1===================
GROSS:   $0
NET:     $0.19
TAX:     $-0.19
================EMPLOYEE:1===================
GROSS:   $0
NET:     $0.19
TAX:     $-0.19
